hr_medicao,cdg_stacao,ponto_orvalho
2019-01-09 00:00:00.000000,A001,16
2019-01-09 01:00:00.000000,A001,16.4
2019-01-09 02:00:00.000000,A001,16.4
2019-01-09 03:00:00.000000,A001,15.4
2019-01-09 04:00:00.000000,A001,15.8
2019-01-09 05:00:00.000000,A001,15.9
2019-01-09 06:00:00.000000,A001,15.5
2019-01-09 07:00:00.000000,A001,15.3
2019-01-09 08:00:00.000000,A001,14.9
2019-01-09 09:00:00.000000,A001,15.5
2019-01-09 10:00:00.000000,A001,15.4
2019-01-09 11:00:00.000000,A001,14.9
2019-01-09 12:00:00.000000,A001,15.4
2019-01-09 13:00:00.000000,A001,14.6
2019-01-09 14:00:00.000000,A001,15.1
2019-01-09 15:00:00.000000,A001,13.5
2019-01-09 16:00:00.000000,A001,12.2
2019-01-09 17:00:00.000000,A001,13
2019-01-09 18:00:00.000000,A001,13.8
2019-01-09 19:00:00.000000,A001,12.4
2019-01-09 20:00:00.000000,A001,10.9
2019-01-09 21:00:00.000000,A001,10.8
2019-01-09 22:00:00.000000,A001,11.6
2019-01-09 23:00:00.000000,A001,13
2019-01-09 00:00:00.000000,A012,17.7
2019-01-09 01:00:00.000000,A012,17.5
2019-01-09 02:00:00.000000,A012,17.2
2019-01-09 03:00:00.000000,A012,17
2019-01-09 04:00:00.000000,A012,17.2
2019-01-09 05:00:00.000000,A012,16.7
2019-01-09 06:00:00.000000,A012,16.8
2019-01-09 07:00:00.000000,A012,16.6
2019-01-09 08:00:00.000000,A012,16.5
2019-01-09 09:00:00.000000,A012,16.4
2019-01-09 10:00:00.000000,A012,16.6
2019-01-09 11:00:00.000000,A012,16.3
2019-01-09 12:00:00.000000,A012,16.2
2019-01-09 13:00:00.000000,A012,15.7
2019-01-09 14:00:00.000000,A012,15.2
2019-01-09 15:00:00.000000,A012,14.6
2019-01-09 16:00:00.000000,A012,14.7
2019-01-09 17:00:00.000000,A012,13.3
2019-01-09 18:00:00.000000,A012,13
2019-01-09 19:00:00.000000,A012,11.4
2019-01-09 20:00:00.000000,A012,12
2019-01-09 21:00:00.000000,A012,12.2
2019-01-09 22:00:00.000000,A012,13.5
2019-01-09 23:00:00.000000,A012,13
2019-01-09 00:00:00.000000,A036,17.9
2019-01-09 01:00:00.000000,A036,17.4
2019-01-09 02:00:00.000000,A036,17
2019-01-09 03:00:00.000000,A036,16.7
2019-01-09 04:00:00.000000,A036,16.6
2019-01-09 05:00:00.000000,A036,16.4
2019-01-09 06:00:00.000000,A036,16
2019-01-09 07:00:00.000000,A036,15.4
2019-01-09 08:00:00.000000,A036,15.3
2019-01-09 09:00:00.000000,A036,15
2019-01-09 10:00:00.000000,A036,15.6
2019-01-09 11:00:00.000000,A036,15.6
2019-01-09 12:00:00.000000,A036,16
2019-01-09 13:00:00.000000,A036,15.9
2019-01-09 14:00:00.000000,A036,15.6
2019-01-09 15:00:00.000000,A036,14.9
2019-01-09 16:00:00.000000,A036,13.3
2019-01-09 17:00:00.000000,A036,11.1
2019-01-09 18:00:00.000000,A036,12.7
2019-01-09 19:00:00.000000,A036,12.2
2019-01-09 20:00:00.000000,A036,12.6
2019-01-09 21:00:00.000000,A036,10.1
2019-01-09 22:00:00.000000,A036,11.7
2019-01-09 23:00:00.000000,A036,12.8
2019-01-09 00:00:00.000000,A042,16.4
2019-01-09 01:00:00.000000,A042,16.3
2019-01-09 02:00:00.000000,A042,16.2
2019-01-09 03:00:00.000000,A042,16
2019-01-09 04:00:00.000000,A042,15.6
2019-01-09 05:00:00.000000,A042,15.8
2019-01-09 06:00:00.000000,A042,15.8
2019-01-09 07:00:00.000000,A042,15.3
2019-01-09 08:00:00.000000,A042,14.8
2019-01-09 09:00:00.000000,A042,14.6
2019-01-09 10:00:00.000000,A042,15.5
2019-01-09 11:00:00.000000,A042,15.2
2019-01-09 12:00:00.000000,A042,14.9
2019-01-09 13:00:00.000000,A042,15.1
2019-01-09 14:00:00.000000,A042,15.6
2019-01-09 15:00:00.000000,A042,15.9
2019-01-09 16:00:00.000000,A042,14.2
2019-01-09 17:00:00.000000,A042,15.1
2019-01-09 18:00:00.000000,A042,13.3
2019-01-09 19:00:00.000000,A042,13.4
2019-01-09 20:00:00.000000,A042,13.5
2019-01-09 21:00:00.000000,A042,10.2
2019-01-09 22:00:00.000000,A042,12.7
2019-01-09 23:00:00.000000,A042,14
2019-01-09 00:00:00.000000,A045,16.8
2019-01-09 01:00:00.000000,A045,16.6
2019-01-09 02:00:00.000000,A045,16.3
2019-01-09 03:00:00.000000,A045,16
2019-01-09 04:00:00.000000,A045,15.8
2019-01-09 05:00:00.000000,A045,15.5
2019-01-09 06:00:00.000000,A045,15.2
2019-01-09 07:00:00.000000,A045,13.8
2019-01-09 08:00:00.000000,A045,14.4
2019-01-09 09:00:00.000000,A045,13.8
2019-01-09 10:00:00.000000,A045,16.8
2019-01-09 11:00:00.000000,A045,15.8
2019-01-09 12:00:00.000000,A045,16.1
2019-01-09 13:00:00.000000,A045,15.1
2019-01-09 14:00:00.000000,A045,15.3
2019-01-09 15:00:00.000000,A045,13.6
2019-01-09 16:00:00.000000,A045,13.8
2019-01-09 17:00:00.000000,A045,12.3
2019-01-09 18:00:00.000000,A045,12.7
2019-01-09 19:00:00.000000,A045,13.4
2019-01-09 20:00:00.000000,A045,12.7
2019-01-09 21:00:00.000000,A045,13.7
2019-01-09 22:00:00.000000,A045,14.2
2019-01-09 23:00:00.000000,A045,14.7
2019-01-09 00:00:00.000000,A056,19
2019-01-09 01:00:00.000000,A056,18.9
2019-01-09 02:00:00.000000,A056,18.5
2019-01-09 03:00:00.000000,A056,17.9
2019-01-09 04:00:00.000000,A056,18.4
2019-01-09 05:00:00.000000,A056,17.4
2019-01-09 06:00:00.000000,A056,16.9
2019-01-09 07:00:00.000000,A056,16.7
2019-01-09 08:00:00.000000,A056,17.3
2019-01-09 09:00:00.000000,A056,16.4
2019-01-09 10:00:00.000000,A056,17.8
2019-01-09 11:00:00.000000,A056,18.8
2019-01-09 12:00:00.000000,A056,17.9
2019-01-09 13:00:00.000000,A056,17.8
2019-01-09 14:00:00.000000,A056,17.3
2019-01-09 15:00:00.000000,A056,16.8
2019-01-09 16:00:00.000000,A056,16.5
2019-01-09 17:00:00.000000,A056,15.8
2019-01-09 18:00:00.000000,A056,13.8
2019-01-09 19:00:00.000000,A056,13.3
2019-01-09 20:00:00.000000,A056,15.6
2019-01-09 21:00:00.000000,A056,15.4
2019-01-09 22:00:00.000000,A056,16.2
2019-01-09 23:00:00.000000,A056,15.7
2019-01-09 00:00:00.000000,A046,16.6
2019-01-09 01:00:00.000000,A046,16.7
2019-01-09 02:00:00.000000,A046,16.7
2019-01-09 03:00:00.000000,A046,16.7
2019-01-09 04:00:00.000000,A046,16.4
2019-01-09 05:00:00.000000,A046,16.2
2019-01-09 06:00:00.000000,A046,16.1
2019-01-09 07:00:00.000000,A046,16
2019-01-09 08:00:00.000000,A046,15.5
2019-01-09 09:00:00.000000,A046,15.7
2019-01-09 10:00:00.000000,A046,16.4
2019-01-09 11:00:00.000000,A046,15.8
2019-01-09 12:00:00.000000,A046,15.2
2019-01-09 13:00:00.000000,A046,15.7
2019-01-09 14:00:00.000000,A046,12.9
2019-01-09 15:00:00.000000,A046,12.6
2019-01-09 16:00:00.000000,A046,11.3
2019-01-09 17:00:00.000000,A046,9.2
2019-01-09 18:00:00.000000,A046,12.1
2019-01-09 19:00:00.000000,A046,11
2019-01-09 20:00:00.000000,A046,11.4
2019-01-09 21:00:00.000000,A046,13.3
2019-01-09 22:00:00.000000,A046,12.7
2019-01-09 23:00:00.000000,A046,13.5
2019-01-09 00:00:00.000000,A047,17.8
2019-01-09 01:00:00.000000,A047,17.7
2019-01-09 02:00:00.000000,A047,17.5
2019-01-09 03:00:00.000000,A047,17.1
2019-01-09 04:00:00.000000,A047,17.1
2019-01-09 05:00:00.000000,A047,17.1
2019-01-09 06:00:00.000000,A047,17
2019-01-09 07:00:00.000000,A047,16.3
2019-01-09 08:00:00.000000,A047,16.2
2019-01-09 09:00:00.000000,A047,16.2
2019-01-09 10:00:00.000000,A047,16.7
2019-01-09 11:00:00.000000,A047,17.5
2019-01-09 12:00:00.000000,A047,17.3
2019-01-09 13:00:00.000000,A047,16.9
2019-01-09 14:00:00.000000,A047,16
2019-01-09 15:00:00.000000,A047,16
2019-01-09 16:00:00.000000,A047,14.6
2019-01-09 17:00:00.000000,A047,14.4
2019-01-09 18:00:00.000000,A047,13.7
2019-01-09 19:00:00.000000,A047,13.5
2019-01-09 20:00:00.000000,A047,13.8
2019-01-09 21:00:00.000000,A047,15.2
2019-01-09 22:00:00.000000,A047,14.3
2019-01-09 23:00:00.000000,A047,14.3
