hr_medicao,cdg_stacao,temperatura
2019-01-09 00:00:00.000000,A001,22.9
2019-01-09 01:00:00.000000,A001,22.1
2019-01-09 02:00:00.000000,A001,21.6
2019-01-09 03:00:00.000000,A001,21.1
2019-01-09 04:00:00.000000,A001,20.7
2019-01-09 05:00:00.000000,A001,20
2019-01-09 06:00:00.000000,A001,19.9
2019-01-09 07:00:00.000000,A001,19.2
2019-01-09 08:00:00.000000,A001,18.4
2019-01-09 09:00:00.000000,A001,19.1
2019-01-09 10:00:00.000000,A001,20.7
2019-01-09 11:00:00.000000,A001,22.2
2019-01-09 12:00:00.000000,A001,22.7
2019-01-09 13:00:00.000000,A001,23.9
2019-01-09 14:00:00.000000,A001,24.4
2019-01-09 15:00:00.000000,A001,24.8
2019-01-09 16:00:00.000000,A001,25.7
2019-01-09 17:00:00.000000,A001,25.7
2019-01-09 18:00:00.000000,A001,26.8
2019-01-09 19:00:00.000000,A001,26.3
2019-01-09 20:00:00.000000,A001,25.3
2019-01-09 21:00:00.000000,A001,25.6
2019-01-09 22:00:00.000000,A001,24.3
2019-01-09 23:00:00.000000,A001,22.9
2019-01-09 00:00:00.000000,A012,23.7
2019-01-09 01:00:00.000000,A012,23.3
2019-01-09 02:00:00.000000,A012,22.7
2019-01-09 03:00:00.000000,A012,21.9
2019-01-09 04:00:00.000000,A012,21.3
2019-01-09 05:00:00.000000,A012,21.1
2019-01-09 06:00:00.000000,A012,20.3
2019-01-09 07:00:00.000000,A012,20.2
2019-01-09 08:00:00.000000,A012,19.6
2019-01-09 09:00:00.000000,A012,19.4
2019-01-09 10:00:00.000000,A012,20.4
2019-01-09 11:00:00.000000,A012,22.5
2019-01-09 12:00:00.000000,A012,24.1
2019-01-09 13:00:00.000000,A012,24.3
2019-01-09 14:00:00.000000,A012,25.5
2019-01-09 15:00:00.000000,A012,27.6
2019-01-09 16:00:00.000000,A012,26.4
2019-01-09 17:00:00.000000,A012,27.9
2019-01-09 18:00:00.000000,A012,26.8
2019-01-09 19:00:00.000000,A012,27.7
2019-01-09 20:00:00.000000,A012,27.1
2019-01-09 21:00:00.000000,A012,26.2
2019-01-09 22:00:00.000000,A012,23.7
2019-01-09 23:00:00.000000,A012,23.2
2019-01-09 00:00:00.000000,A036,22
2019-01-09 01:00:00.000000,A036,21.3
2019-01-09 02:00:00.000000,A036,20.9
2019-01-09 03:00:00.000000,A036,20.7
2019-01-09 04:00:00.000000,A036,20.7
2019-01-09 05:00:00.000000,A036,20.4
2019-01-09 06:00:00.000000,A036,20
2019-01-09 07:00:00.000000,A036,19.7
2019-01-09 08:00:00.000000,A036,19.5
2019-01-09 09:00:00.000000,A036,19.3
2019-01-09 10:00:00.000000,A036,20.8
2019-01-09 11:00:00.000000,A036,21
2019-01-09 12:00:00.000000,A036,21.3
2019-01-09 13:00:00.000000,A036,22
2019-01-09 14:00:00.000000,A036,23.2
2019-01-09 15:00:00.000000,A036,23.5
2019-01-09 16:00:00.000000,A036,24.6
2019-01-09 17:00:00.000000,A036,26.1
2019-01-09 18:00:00.000000,A036,25.2
2019-01-09 19:00:00.000000,A036,25.6
2019-01-09 20:00:00.000000,A036,24.1
2019-01-09 21:00:00.000000,A036,23.6
2019-01-09 22:00:00.000000,A036,21.2
2019-01-09 23:00:00.000000,A036,19.9
2019-01-09 00:00:00.000000,A042,21.9
2019-01-09 01:00:00.000000,A042,20.9
2019-01-09 02:00:00.000000,A042,18.9
2019-01-09 03:00:00.000000,A042,19
2019-01-09 04:00:00.000000,A042,18.6
2019-01-09 05:00:00.000000,A042,18.3
2019-01-09 06:00:00.000000,A042,18.3
2019-01-09 07:00:00.000000,A042,17.9
2019-01-09 08:00:00.000000,A042,16.7
2019-01-09 09:00:00.000000,A042,16.1
2019-01-09 10:00:00.000000,A042,18.6
2019-01-09 11:00:00.000000,A042,21.8
2019-01-09 12:00:00.000000,A042,22.9
2019-01-09 13:00:00.000000,A042,24.2
2019-01-09 14:00:00.000000,A042,25.2
2019-01-09 15:00:00.000000,A042,25.4
2019-01-09 16:00:00.000000,A042,24.9
2019-01-09 17:00:00.000000,A042,26.1
2019-01-09 18:00:00.000000,A042,25.6
2019-01-09 19:00:00.000000,A042,25.5
2019-01-09 20:00:00.000000,A042,25.4
2019-01-09 21:00:00.000000,A042,26.1
2019-01-09 22:00:00.000000,A042,24.1
2019-01-09 23:00:00.000000,A042,22.9
2019-01-09 00:00:00.000000,A045,20.4
2019-01-09 01:00:00.000000,A045,19.6
2019-01-09 02:00:00.000000,A045,19.2
2019-01-09 03:00:00.000000,A045,18.4
2019-01-09 04:00:00.000000,A045,17.7
2019-01-09 05:00:00.000000,A045,16.8
2019-01-09 06:00:00.000000,A045,16.4
2019-01-09 07:00:00.000000,A045,14.9
2019-01-09 08:00:00.000000,A045,15.3
2019-01-09 09:00:00.000000,A045,14.7
2019-01-09 10:00:00.000000,A045,21
2019-01-09 11:00:00.000000,A045,23.2
2019-01-09 12:00:00.000000,A045,24.7
2019-01-09 13:00:00.000000,A045,25.1
2019-01-09 14:00:00.000000,A045,25.3
2019-01-09 15:00:00.000000,A045,25.6
2019-01-09 16:00:00.000000,A045,27.6
2019-01-09 17:00:00.000000,A045,26.8
2019-01-09 18:00:00.000000,A045,28
2019-01-09 19:00:00.000000,A045,27.1
2019-01-09 20:00:00.000000,A045,27.1
2019-01-09 21:00:00.000000,A045,25.8
2019-01-09 22:00:00.000000,A045,23.1
2019-01-09 23:00:00.000000,A045,20.6
2019-01-09 00:00:00.000000,A056,21
2019-01-09 01:00:00.000000,A056,20.4
2019-01-09 02:00:00.000000,A056,20
2019-01-09 03:00:00.000000,A056,19.3
2019-01-09 04:00:00.000000,A056,19.8
2019-01-09 05:00:00.000000,A056,18.8
2019-01-09 06:00:00.000000,A056,18.3
2019-01-09 07:00:00.000000,A056,18
2019-01-09 08:00:00.000000,A056,18
2019-01-09 09:00:00.000000,A056,16.8
2019-01-09 10:00:00.000000,A056,19.6
2019-01-09 11:00:00.000000,A056,21.7
2019-01-09 12:00:00.000000,A056,23
2019-01-09 13:00:00.000000,A056,23.4
2019-01-09 14:00:00.000000,A056,24
2019-01-09 15:00:00.000000,A056,25.6
2019-01-09 16:00:00.000000,A056,26.3
2019-01-09 17:00:00.000000,A056,27.4
2019-01-09 18:00:00.000000,A056,27.5
2019-01-09 19:00:00.000000,A056,27.4
2019-01-09 20:00:00.000000,A056,27.1
2019-01-09 21:00:00.000000,A056,25.9
2019-01-09 22:00:00.000000,A056,21.8
2019-01-09 23:00:00.000000,A056,19.6
2019-01-09 00:00:00.000000,A046,23.8
2019-01-09 01:00:00.000000,A046,23.2
2019-01-09 02:00:00.000000,A046,21.5
2019-01-09 03:00:00.000000,A046,19.9
2019-01-09 04:00:00.000000,A046,19
2019-01-09 05:00:00.000000,A046,19.4
2019-01-09 06:00:00.000000,A046,19.8
2019-01-09 07:00:00.000000,A046,17.9
2019-01-09 08:00:00.000000,A046,17
2019-01-09 09:00:00.000000,A046,17.2
2019-01-09 10:00:00.000000,A046,21.3
2019-01-09 11:00:00.000000,A046,23.7
2019-01-09 12:00:00.000000,A046,24.7
2019-01-09 13:00:00.000000,A046,26.2
2019-01-09 14:00:00.000000,A046,26
2019-01-09 15:00:00.000000,A046,26.9
2019-01-09 16:00:00.000000,A046,27.9
2019-01-09 17:00:00.000000,A046,28.1
2019-01-09 18:00:00.000000,A046,28.3
2019-01-09 19:00:00.000000,A046,28.6
2019-01-09 20:00:00.000000,A046,27.2
2019-01-09 21:00:00.000000,A046,26.6
2019-01-09 22:00:00.000000,A046,23.6
2019-01-09 23:00:00.000000,A046,22.8
2019-01-09 00:00:00.000000,A047,21.2
2019-01-09 01:00:00.000000,A047,20.6
2019-01-09 02:00:00.000000,A047,20.2
2019-01-09 03:00:00.000000,A047,20.2
2019-01-09 04:00:00.000000,A047,19.8
2019-01-09 05:00:00.000000,A047,18.9
2019-01-09 06:00:00.000000,A047,18.6
2019-01-09 07:00:00.000000,A047,17.6
2019-01-09 08:00:00.000000,A047,17.9
2019-01-09 09:00:00.000000,A047,18.4
2019-01-09 10:00:00.000000,A047,20.5
2019-01-09 11:00:00.000000,A047,21.6
2019-01-09 12:00:00.000000,A047,22.5
2019-01-09 13:00:00.000000,A047,23.7
2019-01-09 14:00:00.000000,A047,25.3
2019-01-09 15:00:00.000000,A047,26.3
2019-01-09 16:00:00.000000,A047,25.8
2019-01-09 17:00:00.000000,A047,27.2
2019-01-09 18:00:00.000000,A047,27.3
2019-01-09 19:00:00.000000,A047,27.6
2019-01-09 20:00:00.000000,A047,26.6
2019-01-09 21:00:00.000000,A047,24.2
2019-01-09 22:00:00.000000,A047,22.5
2019-01-09 23:00:00.000000,A047,20.7
